,Epoch,Mixup Layers,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
0,0,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.46595187187194825,10.079999268054962,0.4659126758575439,10.055999457836151
1,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.4777419090270996,13.56000006198883,0.47792649269104004,13.420000672340393
2,2,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.43732824325561526,18.58000010251999,0.4396385669708252,18.07200014591217
3,3,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.4317653656005859,22.179999947547913,0.43462700843811036,21.823999285697937
4,4,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.4001664161682129,34.24000144004822,0.403503942489624,33.30000042915344
5,5,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.40012164115905763,27.02000141143799,0.4041423797607422,26.396000385284424
6,6,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.3718918561935425,38.81999850273132,0.3770676851272583,37.81200051307678
7,7,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.3750643491744995,34.71999764442444,0.3793527603149414,34.004002809524536
8,8,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.3671174287796021,41.200000047683716,0.37177863121032717,40.0160014629364
9,9,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.35777435302734373,51.44000053405762,0.36274428367614747,49.56400394439697
10,10,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.37381572723388673,34.49999690055847,0.37835006713867186,33.73999893665314
11,11,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.3499917507171631,46.84000015258789,0.35520339012145996,45.80399990081787
12,12,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.3603586912155151,47.540003061294556,0.3646660089492798,46.94800078868866
13,13,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.39179172515869143,41.71999990940094,0.3953711748123169,40.76400399208069
14,14,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.36896491050720215,47.040000557899475,0.37357378005981445,45.768001675605774
15,15,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.3534175157546997,51.5999972820282,0.35869946479797366,50.095999240875244
16,16,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.4122753620147705,15.040001273155212,0.4146104335784912,15.060000121593475
17,17,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.3876779079437256,25.24000108242035,0.3912597417831421,25.116002559661865
18,18,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.39350357055664065,27.420002222061157,0.3972497463226318,27.1479994058609
19,19,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.36067919731140136,45.740002393722534,0.36556806564331057,44.16400194168091
20,20,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.3611094236373901,46.81999683380127,0.366306209564209,45.10800242424011
