,Epoch,Mixup Layers,Train Loss,Train Accuracy,Validation Loss,Validation Accuracy
0,0,"[8, 4, 9, 4, 1, 2, 1, 2, 2, 9, 8, 1, 6, 9, 6, 3, 1, 2, 1, 8]",0.46378817558288576,10.159999132156372,0.46373929977416994,10.14000028371811
1,1,"[2, 3, 6, 1, 0, 7, 6, 8, 3, 9, 6, 0, 4, 2, 4, 6, 8, 4, 3, 7]",0.4609812259674072,16.359999775886536,0.4618996620178223,16.15999937057495
2,2,"[9, 0, 7, 4, 7, 1, 2, 7, 2, 0, 2, 1, 8, 9, 6, 7, 1, 2, 1, 2]",0.4103034019470215,33.60000252723694,0.41408596038818357,32.59600102901459
3,3,"[8, 8, 6, 3, 3, 3, 4, 0, 0, 4, 4, 9, 9, 8, 1, 3, 2, 2, 1, 0]",0.38175575733184813,42.05999970436096,0.38640575408935546,41.127997636795044
4,4,"[1, 2, 2, 2, 4, 3, 6, 0, 4, 7, 6, 0, 1, 6, 1, 6, 3, 3, 7, 2]",0.39382643699645997,35.120001435279846,0.39777536392211915,34.248000383377075
5,5,"[2, 4, 9, 9, 6, 4, 1, 9, 3, 6, 1, 7, 9, 1, 1, 9, 1, 0, 2, 9]",0.38863685131073,40.49999713897705,0.39298505783081056,39.180001616477966
6,6,"[8, 6, 2, 4, 1, 2, 9, 0, 1, 8, 2, 8, 0, 6, 1, 9, 9, 7, 1, 8]",0.39103093147277834,33.639997243881226,0.39526488780975344,32.88800120353699
7,7,"[2, 6, 0, 7, 8, 1, 7, 9, 8, 4, 0, 3, 0, 4, 2, 7, 6, 4, 7, 3]",0.3909090518951416,41.099995374679565,0.39440550804138186,40.30400216579437
8,8,"[4, 6, 0, 8, 6, 7, 3, 6, 3, 1, 8, 4, 3, 8, 3, 2, 8, 3, 6, 6]",0.36956284046173093,42.10000038146973,0.37450714111328126,41.127997636795044
9,9,"[9, 8, 2, 1, 6, 8, 6, 8, 9, 2, 4, 6, 9, 2, 0, 6, 0, 2, 2, 3]",0.39359450340270996,42.479997873306274,0.39728081226348877,41.10000133514404
10,10,"[7, 3, 7, 9, 6, 9, 1, 4, 2, 7, 1, 4, 6, 4, 8, 2, 3, 8, 3, 6]",0.3563209056854248,41.24000072479248,0.36165575981140136,39.8639976978302
11,11,"[3, 6, 0, 2, 9, 8, 4, 3, 0, 1, 8, 8, 6, 4, 3, 7, 4, 2, 1, 7]",0.3445294857025146,54.96000051498413,0.3508613586425781,53.46399545669556
12,12,"[0, 2, 3, 9, 9, 1, 9, 1, 9, 4, 6, 8, 0, 4, 8, 6, 8, 3, 0, 9]",0.3818139314651489,49.63999688625336,0.3859547138214111,48.52799475193024
13,13,"[0, 6, 3, 4, 6, 6, 4, 1, 7, 7, 4, 9, 4, 0, 2, 7, 4, 1, 2, 0]",0.37636895179748536,43.41999888420105,0.3814316034317017,42.43199825286865
14,14,"[4, 4, 4, 2, 2, 4, 7, 6, 9, 1, 9, 6, 8, 3, 1, 7, 7, 3, 9, 8]",0.34195361137390134,54.100000858306885,0.3486138105392456,52.35599875450134
15,15,"[0, 8, 7, 8, 9, 4, 9, 7, 6, 7, 1, 2, 2, 4, 1, 7, 6, 2, 3, 0]",0.324133563041687,52.799999713897705,0.3314157485961914,51.315999031066895
16,16,"[6, 8, 6, 0, 0, 2, 0, 2, 7, 7, 8, 9, 4, 3, 3, 2, 1, 4, 7, 2]",0.32965264320373533,46.74000144004822,0.33645071983337405,45.215997099876404
17,17,"[1, 9, 2, 2, 0, 3, 7, 1, 8, 3, 0, 9, 4, 2, 9, 4, 2, 6, 6, 6]",0.3830687999725342,56.33999705314636,0.3871774196624756,54.24799919128418
18,18,"[1, 0, 7, 9, 2, 7, 4, 1, 8, 1, 6, 3, 3, 0, 2, 4, 1, 3, 2, 0]",0.3657273769378662,44.920000433921814,0.37032375335693357,43.804001808166504
19,19,"[8, 0, 3, 0, 1, 8, 9, 0, 8, 7, 2, 4, 9, 6, 2, 8, 1, 4, 6, 9]",0.30992517471313474,64.9399995803833,0.31823685169219973,62.6800000667572
